NOTA_FISCAL;NOME;CPF;CIDADE;CARGO;ENDERECO;EMAIL;DATA_NASCIMENTO;IDADE;DATA_EMISSAO;VALOR_NOTA;COMISSAO;VENDEDOR
955059;Pietro Jesus;127.648.903-03;Oliveira;Ferroviário;Loteamento de Nascimento, 12;peixotojoao-guilherme@example.org;30/03/2007;18;25/01/2025;957;14,35;Vendendor_C
833022;Sr. Luigi Freitas;163.280.795-59;Novaes;Funileiro;Rua Lorenzo Duarte, 43;vitoria12@example.org;20/05/1965;60;08/10/2025;962;14,43;Vendendor_B
521516;Srta. Lara Almeida;203.697.481-31;Cirino do Galho;Psiquiatra;Largo de Machado, 3;nicolascamara@example.com;02/07/1968;57;15/07/2025;277;4,16;Vendendor_B
679802;Alice Moura;317.208.659-30;Oliveira;Engenheiro petroquímico;Viela Antonella Vargas, 60;leticia63@example.com;25/09/1980;45;16/07/2025;890;13,35;Vendedor_E
845828;Jade Duarte;751.082.496-67;Carvalho das Flores;Cirurgião bucal;Parque Isabelly Porto;barrosfelipe@example.net;08/10/2024;1;01/01/2025;690;10,35;Vendendor_A
932379;Eloah Cavalcante;102.543.678-44;Pacheco Alegre;Patologista;Esplanada Fogaça, 577;jfarias@example.com;22/07/1995;30;30/09/2025;317;4,75;Vendendor_B
921691;José Cunha;974.618.350-84;Santos de Souza;Eletricista;Via Leandro Rezende, 34;zcunha@example.net;09/07/2013;12;25/08/2025;183;2,75;Vendedor_E
648153;Fernando da Costa;689.417.350-84;Peixoto;Somelier;Área Porto, 4;kcarvalho@example.com;29/04/2017;8;02/09/2025;739;11,08;Vendendor_C
390021;José Pedro Abreu;436.725.908-00;Vasconcelos;Jogador de basquete;Lagoa de da Mata, 51;mariana34@example.org;07/06/2023;2;27/06/2025;124;1,86;Vendedor_E
824020;Maria Helena Novais;569.480.273-00;Freitas da Prata;Clínico geral;Lagoa Fonseca, 532;mathiasda-mata@example.org;24/07/2013;12;18/12/2024;37;0,55;Vendedor_E
367773;Luiza Porto;735.904.628-92;Alves;Naturólogo;Vale Dias, 51;hda-costa@example.org;11/10/1999;26;17/02/2025;118;1,77;Vendedor_D
297371;Matteo Moreira;430.629.158-89;Cassiano da Serra;Gravurista;Campo Enzo das Neves, 60;da-rosadaniela@example.net;13/02/1932;93;01/01/2025;241;3,61;Vendedor_E
690428;Vitor da Costa;984.716.053-84;Vargas;Tecnólogo em produção Sucroalcooleira;Vila de Costa, 44;tsilveira@example.net;31/05/2015;10;12/10/2025;246;3,69;Vendendor_B
994937;Matheus Jesus;184.572.039-32;da Mota;Vereador;Sítio de Moura, 5;montenegrokaique@example.com;19/04/1914;111;27/09/2025;570;8,55;Vendedor_E
516443;Sr. André Lopes;241.387.596-46;Almeida da Serra;Empresário;Conjunto Sousa, 1;mirella69@example.org;10/06/2014;11;08/08/2025;533;8,0;Vendendor_A
842953;Maria Júlia Barros;630.972.548-38;da Cruz;Apicultor;Vila Maria Cecília Costela, 39;zgomes@example.net;18/06/2014;11;05/05/2025;726;10,89;Vendedor_E
578655;Clarice Vasconcelos;874.296.150-58;Carvalho da Serra;Técnico tributarista;Favela de Cirino, 30;silvabruna@example.org;24/07/1976;49;02/05/2025;617;9,25;Vendendor_B
883747;Enrico Santos;201.647.359-25;Cirino;Telefonista;Colônia Rafael Rezende, 4;barbara52@example.net;28/05/1924;101;07/07/2025;31;0,46;Vendedor_E
737439;Gabriel Oliveira;358.124.069-60;Costela;Técnico em edificações;Vereda Silva, 78;joao-vitorda-luz@example.com;22/10/1922;103;02/06/2025;158;2,37;Vendendor_B
420451;Mariah Gonçalves;423.715.906-06;Viana das Flores;Publicitário;Viaduto Farias;camaraerick@example.com;25/04/2021;4;17/07/2025;324;4,86;Vendendor_A
899560;Liam Campos;413.068.297-04;Duarte de Moreira;Piloto automobilístico;Vale de Silva;emanuelly66@example.org;24/11/1958;67;25/11/2024;443;6,64;Vendedor_E
148569;Sara Gonçalves;860.419.327-87;Jesus;Remador;Esplanada Abreu;yanramos@example.net;13/09/1955;70;15/04/2025;275;4,12;Vendedor_D
256867;Caio Leão;836.024.917-22;Mendes de da Cunha;Engenheiro civil;Estrada de Pinto, 11;costelaana-beatriz@example.net;10/10/1985;40;24/02/2025;884;13,26;Vendendor_B
846666;Fernando Pereira;804.236.759-74;Pires;Corretor de imóveis;Condomínio de Rodrigues, 49;alice04@example.org;11/11/2017;8;29/09/2025;394;5,91;Vendendor_A
947390;Nicole das Neves;049.217.368-04;Mendonça;Tecnólogo em silvicultura;Condomínio Ian da Mata, 333;nascimentosamuel@example.net;26/07/2008;17;01/02/2025;566;8,49;Vendendor_A
302040;Maria Laura Rios;085.246.193-33;Lima;Agrimensor;Vereda Calebe Cardoso, 25;maria-lizpeixoto@example.com;12/04/2002;23;01/11/2025;507;7,6;Vendendor_A
394622;Dom Freitas;841.307.695-10;Novais;Ecólogo;Aeroporto Paulo Ramos, 15;zmontenegro@example.org;24/01/2022;3;04/12/2024;375;5,62;Vendedor_D
137764;Maria Sophia Nunes;627.813.409-87;Rocha;Engenheiro de materiais;Recanto Abreu, 48;emanuelly53@example.net;06/05/1926;99;18/12/2024;493;7,39;Vendendor_C
461895;Luiza Pastor;416.928.705-30;Lopes;Radiooperador de vôo;Praça de Sousa, 2;pmarques@example.com;06/04/1969;56;10/01/2025;678;10,17;Vendendor_C
929151;Kevin Fogaça;365.487.129-19;Farias do Galho;Tecnólogo em produção de bebidas;Quadra Mendonça, 34;da-conceicaodavi-miguel@example.org;07/08/1986;39;19/02/2025;620;9,3;Vendendor_C
759172;Ian Novais;782.304.956-29;da Conceição;Taxista;Esplanada de Correia, 832;rafaelarocha@example.net;26/11/1918;107;12/10/2025;414;6,21;Vendendor_B
552882;Arthur Miguel Fernandes;586.203.174-07;Nascimento;Corretor de seguros;Condomínio Luiz Felipe Porto, 60;enovaes@example.org;25/05/1921;104;12/07/2025;8;0,12;Vendendor_B
893447;Benjamim das Neves;401.835.679-00;Ramos;Moldador;Estação Isaque Abreu, 228;joao-felipe05@example.net;02/12/1941;84;08/02/2025;905;13,57;Vendedor_E
735179;Isabel Freitas;450.826.917-67;Martins do Norte;Endocrinologista;Área Isabelly Fogaça, 6;goncalvesleo@example.org;30/08/2006;19;01/08/2025;70;1,05;Vendedor_D
104497;Emanuelly Silva;514.376.209-06;da Luz;Auxiliar administrativo;Campo Ana Lívia Santos, 15;oliviabrito@example.org;12/10/1991;34;03/02/2025;904;13,56;Vendendor_A
296804;Clara das Neves;412.638.059-06;Marques;Portuário;Estrada Pires, 5;pedro-henrique05@example.com;08/06/1971;54;14/08/2025;415;6,22;Vendendor_A
876289;Ryan Rocha;568.304.217-80;da Mata de Goiás;Caixa;Alameda de Pastor, 62;matteo91@example.com;18/02/2012;13;05/04/2025;645;9,67;Vendedor_D
635286;Beatriz Pastor;764.329.180-22;da Paz do Amparo;Museólogo;Área Gabriel Ribeiro, 79;rodrigo36@example.com;03/04/1976;49;27/09/2025;882;13,23;Vendendor_C
326047;Ravy Abreu;961.308.542-42;Azevedo;Encanador;Praça de Oliveira, 13;emanuellypastor@example.com;30/04/1984;41;22/03/2025;755;11,32;Vendedor_D
711213;Gustavo da Rosa;418.935.206-33;da Conceição;Embalador;Favela Rezende, 27;da-rochaana-carolina@example.net;12/09/1981;44;16/07/2025;64;0,96;Vendedor_E
479151;Dra. Bella Rocha;658.127.049-02;Ferreira;Educador integrado à saúde pública;Rua Peixoto, 9;augusto06@example.net;04/04/1980;45;27/06/2025;449;6,73;Vendendor_A
361794;Isaac Peixoto;326.145.098-33;da Paz de Goiás;Alfaiate;Trecho Silva, 8;xda-mata@example.org;15/01/1914;111;08/03/2025;597;8,96;Vendedor_D
109150;Sra. Ayla Campos;638.572.149-37;Rezende da Praia;Impressor;Distrito de Mendes, 7;gustavo68@example.com;18/09/1999;26;12/05/2025;681;10,21;Vendendor_A
801606;Manuela Garcia;372.946.051-06;da Paz;Lamboteiro;Colônia Montenegro, 40;vieiramarcelo@example.com;17/02/1947;78;14/06/2025;588;8,82;Vendendor_C
602281;Bella Gomes;374.821.590-88;Fernandes;Físico;Lagoa de Garcia, 5;domcirino@example.org;14/08/2012;13;21/03/2025;790;11,85;Vendendor_B
118240;Lunna Fonseca;345.670.981-10;Aparecida;Trompetista;Vale de Abreu;alicia78@example.net;30/03/2009;16;16/09/2025;465;6,97;Vendendor_A
581132;Dr. Igor Sá;734.186.092-87;Almeida de Nunes;Assessor parlamentar;Vale de Pimenta, 87;jda-mata@example.com;21/09/1931;94;22/06/2025;186;2,79;Vendendor_A
520875;Dr. Otávio Alves;895.462.013-24;Sá de Cavalcanti;Cientista da informação e documentação;Praia Jesus, 72;vda-costa@example.org;19/01/1957;68;07/02/2025;768;11,52;Vendendor_C
126828;Valentina Cardoso;702.359.846-47;Sales de Rezende;Técnico em desporto;Condomínio Cassiano, 25;luiz-felipeandrade@example.net;03/05/2013;12;11/11/2025;619;9,29;Vendendor_C
991879;Dr. Henrique Lima;819.026.547-49;da Paz;Torneiro mecânico;Estação Caio da Mota, 12;ayllapinto@example.org;04/04/1968;57;11/02/2025;424;6,36;Vendendor_A
552210;Allana Araújo;210.758.643-80;Aragão do Galho;Agente de combate à endemias;Ladeira Evelyn Sá, 86;fogacaana-vitoria@example.net;04/03/1933;92;29/11/2024;456;6,84;Vendedor_E
764054;Vitor Teixeira;802.431.697-87;Caldeira do Amparo;Taxista;Lago Macedo, 26;da-pazenzo-gabriel@example.com;03/01/1964;61;29/09/2025;781;11,71;Vendendor_A
842914;Isaque da Rosa;186.209.534-51;Aparecida das Pedras;Maitre;Recanto Isaque da Rocha, 4;limajoao@example.org;23/08/1919;106;26/11/2024;193;2,9;Vendedor_E
110385;Pedro Lucas Siqueira;257.413.906-25;das Neves;Radialista;Aeroporto Aparecida, 55;joao-guilherme97@example.com;19/04/2012;13;25/12/2024;267;4,0;Vendendor_B
142033;Thiago da Costa;402.385.967-29;Lopes de Sampaio;Construtor;Travessa de Porto, 246;yuri67@example.net;20/08/1913;112;07/04/2025;253;3,79;Vendendor_B
509540;Sr. Mathias da Conceição;179.324.506-16;Pacheco da Praia;Consultor;Morro Luiz Otávio Alves, 934;hellena93@example.net;13/08/1938;87;15/02/2025;408;6,12;Vendedor_D
530322;Danilo Pimenta;613.204.789-13;Lopes de Vargas;Coveiro/Sepultador;Conjunto de Rodrigues, 230;zmoura@example.com;09/07/1949;76;30/03/2025;336;5,04;Vendedor_E
725402;João Barbosa;320.964.815-89;Vasconcelos;Investigador de Polícia;Fazenda de Macedo, 419;ayllacastro@example.net;18/12/1999;26;05/05/2025;243;3,65;Vendedor_E
307249;Luiz Fernando Ribeiro;108.793.245-97;Moraes;Astrônomo;Recanto de Martins, 23;ana-ceciliafogaca@example.net;12/08/1950;75;01/01/2025;429;6,43;Vendendor_A
932027;Heloísa Monteiro;642.150.378-08;Barros;Parteira tradicional;Estação Pedro Miguel Carvalho;hborges@example.com;18/01/2004;21;05/01/2025;541;8,12;Vendedor_E
289059;Dr. Vicente Sales;967.081.534-75;Rocha;Letrista;Lagoa de Silveira, 655;jose-miguelgarcia@example.com;24/03/1952;73;29/12/2024;906;13,59;Vendendor_A
703355;Marcelo Souza;690.513.427-99;Siqueira da Mata;Ortopedista;Núcleo Kaique Macedo, 88;gfreitas@example.net;18/03/2007;18;13/11/2024;101;1,51;Vendedor_D
229123;Levi Costela;768.045.219-94;Correia de Minas;Oculista;Estação Costa, 28;rda-rocha@example.net;25/08/2017;8;22/11/2024;324;4,86;Vendedor_D
599644;Bryan da Luz;163.598.470-00;Dias;Ceramista;Colônia Souza, 367;zmacedo@example.org;09/03/1910;115;02/02/2025;670;10,05;Vendedor_E
706653;Gustavo Henrique Araújo;930.257.618-30;Sales;Presidente da República;Trevo Pinto, 60;aferreira@example.com;01/04/1965;60;22/09/2025;841;12,62;Vendedor_E
509099;Calebe Duarte;318.029.476-04;Pacheco de Minas;Cenógrafo;Largo Borges;silveiravitor-gabriel@example.com;06/02/2024;1;03/11/2025;821;12,31;Vendedor_D
143920;Sra. Ísis Rodrigues;520.784.619-11;Oliveira da Mata;Maestro;Sítio José Pedro Ramos;raquel62@example.org;15/05/1992;33;27/10/2025;953;14,29;Vendendor_C
738630;Lucas Gabriel Moreira;857.632.041-07;Rezende de Goiás;Instrumentador cirúrgico;Praça Rafael Gonçalves, 192;ceciliafernandes@example.com;09/01/2008;17;19/11/2024;309;4,63;Vendendor_C
163072;Sr. André Gonçalves;413.576.802-44;Castro de Minas;Clínico geral;Colônia Bryan Caldeira, 32;carlos-eduardo25@example.com;25/09/1979;46;05/01/2025;449;6,73;Vendendor_B
669827;Melissa Abreu;685.049.127-01;Brito;Gastroenterologista;Trecho de Barros, 8;pachecoleticia@example.org;16/01/1947;78;14/05/2025;770;11,55;Vendedor_D
930281;Dra. Joana Ferreira;169.205.384-15;Cavalcanti;Ortodontista;Colônia Aparecida, 5;yasmindias@example.com;16/11/1969;56;14/10/2025;131;1,96;Vendendor_C
241111;Srta. Lavínia Gomes;589.024.316-06;Costela da Prata;Produtor de multimídia;Largo de Andrade, 47;maitecassiano@example.com;09/06/1955;70;27/02/2025;370;5,55;Vendedor_D
919044;Antony Santos;439.076.851-48;Fonseca;Petroleiro;Praia Duarte, 26;abreubernardo@example.org;17/07/1949;76;28/04/2025;668;10,02;Vendedor_E
237536;Isaque Moraes;936.745.280-29;Fonseca do Norte;Capoeirista;Residencial de Albuquerque, 387;marinaaragao@example.com;25/11/1918;107;21/07/2025;409;6,13;Vendedor_D
116255;Heitor Cirino;219.840.573-32;Novais de Garcia;Catador de carangueijos;Parque Beatriz Camargo, 9;guerramilena@example.net;10/05/1952;73;08/09/2025;374;5,61;Vendedor_D
688903;Sr. Ryan Freitas;832.605.941-24;Dias;Levantador de peso;Parque de Abreu, 82;leandroda-mota@example.com;17/07/1986;39;10/12/2024;429;6,43;Vendendor_A
608630;João Miguel da Conceição;534.760.829-38;Costa;Físico nuclear;Largo Maria Clara Souza, 8;acaldeira@example.org;16/11/2004;21;17/12/2024;509;7,63;Vendedor_D
329917;Otávio Vargas;325.874.169-73;Vieira do Campo;Cancerologista ou Oncologista;Largo Mathias Silveira, 47;daraujo@example.net;04/12/1936;89;08/06/2025;397;5,96;Vendendor_A
150251;Eduarda Cavalcante;421.385.796-46;Silva;Letrista;Favela Luiz Gustavo Barbosa, 98;ravicavalcante@example.com;06/10/1955;70;02/10/2025;459;6,88;Vendendor_C
303438;Maria Cecília Cavalcanti;084.135.762-53;Alves;Engenheiro de processos;Jardim de Peixoto, 42;otavio89@example.com;30/11/1957;68;14/01/2025;558;8,37;Vendedor_E
902116;Srta. Ana Julia Cirino;170.893.462-69;Brito de Minas;Quitandeiro;Rodovia de Sampaio;imendes@example.com;09/05/1994;31;29/07/2025;760;11,4;Vendedor_E
861434;Guilherme Cavalcanti;182.934.657-19;Montenegro;Motorista;Pátio Breno Barros;carvalhojade@example.net;20/12/2013;12;30/01/2025;661;9,91;Vendendor_A
537700;Raquel Oliveira;594.621.870-02;da Conceição de Lima;Embalador;Trecho Enzo Melo, 9;vinicius64@example.com;22/05/1970;55;13/05/2025;379;5,68;Vendedor_D
667933;Dr. Henry Gonçalves;064.329.781-22;da Conceição de Machado;Coveiro/Sepultador;Vale de Almeida, 249;thales25@example.com;06/05/1977;48;27/10/2025;678;10,17;Vendedor_D
744207;Sra. Maria Luiza Câmara;395.017.862-77;Andrade de Moraes;Instrumentista musical;Conjunto Sales, 91;eloacampos@example.net;10/03/1948;77;11/12/2024;286;4,29;Vendedor_E
334768;Luísa Marques;473.905.126-52;da Cunha dos Dourados;Pianista;Trevo Bernardo Vieira;luiz-otavioleao@example.org;19/12/1959;66;25/12/2024;544;8,16;Vendendor_B
828711;Dr. Vicente Oliveira;871.459.320-32;Pacheco do Oeste;Maquinista;Avenida de Fonseca, 14;fernanda23@example.com;01/11/2010;15;23/10/2025;422;6,33;Vendendor_B
705773;Sr. Theodoro Jesus;920.458.637-00;Cassiano de da Rosa;Webdesigner;Vila de das Neves, 50;matteomendes@example.net;16/06/2012;13;26/01/2025;488;7,32;Vendedor_E
373267;Arthur Gabriel Sampaio;196.308.547-75;Correia;Percursionista;Vereda de Rodrigues, 2;leopinto@example.org;29/11/1964;61;20/01/2025;978;14,67;Vendendor_B
905919;Calebe Fogaça;376.182.495-55;Almeida do Galho;Prefeito;Vereda de da Rocha;cmartins@example.net;13/07/1977;48;03/01/2025;493;7,39;Vendedor_E
627227;Sr. Otávio Pimenta;456.780.923-83;da Cunha da Praia;Tecnólogo em recursos pesqueiros;Colônia de Rodrigues, 80;barbosaarthur@example.org;25/11/2006;19;13/05/2025;224;3,36;Vendendor_A
465496;Sr. Dom Cassiano;159.634.072-06;Borges;Nutricionista;Lagoa Duarte, 6;luiz-otaviosouza@example.com;10/02/2010;15;10/03/2025;659;9,88;Vendedor_E
428066;Helena Cassiano;071.645.932-99;Silva de Freitas;Agente penitenciário;Alameda de Vargas, 6;auroraduarte@example.com;14/04/1942;83;27/08/2025;729;10,93;Vendedor_E
941200;Ravy Dias;560.371.492-16;Moura das Pedras;Técnico em documentação;Estação de Mendes, 28;nogueiraenzo@example.net;07/12/2010;15;29/08/2025;859;12,88;Vendedor_E
766402;Srta. Maria Luísa Nogueira;471.890.326-22;da Rocha;Matemático;Jardim Luiz Gustavo Nunes, 347;hbarbosa@example.net;15/01/2012;13;06/03/2025;955;14,32;Vendedor_E
229417;Mirella Fonseca;593.042.618-05;Pastor das Flores;Continuista;Estrada de Montenegro, 45;qda-mota@example.org;26/07/2011;14;14/05/2025;824;12,36;Vendendor_C
409511;Ester da Paz;405.971.236-16;Araújo;Gestor de tecnologia da informação;Trecho Brenda Andrade, 5;das-nevesmaria-sophia@example.org;01/07/1987;38;31/01/2025;142;2,13;Vendendor_A
140989;Gabriela Albuquerque;019.546.732-99;Jesus;Investigador de Polícia;Viaduto da Cruz, 30;costeladanilo@example.org;03/10/1965;60;15/06/2025;410;6,15;Vendedor_E
456185;Marcela da Conceição;269.378.154-09;Cavalcanti de Cirino;Produtor musical;Trecho de Aragão;bpacheco@example.com;19/04/1929;96;07/03/2025;626;9,39;Vendedor_E
455366;Dr. Vitor Gabriel Pinto;203.479.861-96;Peixoto;Figurinista;Via de Moraes, 471;leandropacheco@example.net;21/09/1939;86;07/09/2025;755;11,32;Vendendor_B
837137;Ryan Fernandes;964.387.250-56;Aragão;Operador de vídeo;Vereda das Neves, 925;oliveirathales@example.net;31/05/1926;99;07/01/2025;390;5,85;Vendendor_C
791476;Giovanna da Luz;506.731.824-44;Mendes;Jogador de hóquei;Quadra Bento Castro, 93;ana-livia76@example.com;09/10/1989;36;03/05/2025;187;2,8;Vendendor_B
615921;Dra. Clarice da Conceição;531.762.480-08;Macedo;Tecnólogo em tecnologia da madeira;Trecho Monteiro, 88;sacecilia@example.com;24/10/1939;86;13/12/2024;714;10,71;Vendendor_A
782265;Maria Laura Teixeira;470.952.183-23;Ramos de Vasconcelos;Comerciante;Largo Peixoto, 18;da-luzdiogo@example.com;18/06/1938;87;17/11/2024;860;12,9;Vendendor_A
577684;Dra. Maria Flor Castro;243.061.795-16;Nunes;Radiologista;Chácara Sarah Moura, 26;emartins@example.org;31/10/1911;114;26/05/2025;858;12,87;Vendendor_C
796470;Elisa Novais;675.380.421-80;Moraes;Contatólogo;Lagoa de Casa Grande, 7;camaralaura@example.org;10/10/2016;9;06/08/2025;407;6,1;Vendendor_B
970669;Ravy Albuquerque;325.648.091-89;Silveira;Engenheiro florestal;Rodovia João Vitor Pereira, 18;andre08@example.org;20/04/1929;96;16/01/2025;55;0,82;Vendendor_C
894874;Dr. Rodrigo Campos;150.432.879-50;Vasconcelos;Vendedor;Estação de Sousa, 509;da-rochaclarice@example.org;15/10/2003;22;03/12/2024;568;8,52;Vendendor_A
926304;Luiz Otávio Câmara;851.047.326-90;Abreu;Gestor de recursos humanos;Conjunto de Silveira, 32;thalesda-rocha@example.net;17/06/1965;60;17/06/2025;976;14,64;Vendendor_A
904995;Sr. Vinicius Pereira;673.805.419-00;Macedo;Engenheiro industrial;Favela Henry Farias, 91;lopesana-clara@example.net;24/06/1982;43;14/09/2025;757;11,36;Vendendor_B
814119;Isabelly Santos;069.732.154-16;Moreira;Capitão;Lago Vasconcelos, 260;bella73@example.org;12/09/1915;110;26/11/2024;743;11,14;Vendendor_A
197223;Dr. Fernando Albuquerque;784.635.021-80;Costela da Praia;Impressor;Estrada Rocha, 581;fonsecaheitor@example.org;17/12/1992;33;16/10/2025;114;1,71;Vendendor_A
383977;Larissa da Rocha;329.456.018-42;Guerra do Sul;Artista de circo;Loteamento de Gonçalves, 449;xfernandes@example.org;21/09/1911;114;20/06/2025;262;3,93;Vendendor_C
467260;Isadora da Paz;863.175.904-00;Siqueira;Espeleologista;Conjunto Pastor;sophie65@example.com;02/04/1957;68;31/10/2025;806;12,09;Vendendor_C
979894;Dr. Lucas Gabriel Garcia;495.361.028-89;Silva;Alergologista;Estrada da Luz, 84;leticiasantos@example.net;03/03/2007;18;30/10/2025;61;0,91;Vendendor_A
768358;Sra. Sofia Mendonça;365.701.249-43;Câmara do Oeste;Estilista;Loteamento Santos, 2;vasconcelosgabriel@example.org;30/11/1941;84;03/04/2025;322;4,83;Vendendor_C
136441;Sra. Emanuella Dias;902.645.713-80;Barbosa Grande;Contramestre em transporte marítimo;Avenida Eloah Sales, 9;pachecoyasmin@example.net;19/07/1917;108;26/08/2025;394;5,91;Vendendor_B
271056;Ana Albuquerque;893.076.241-78;Vargas Alegre;Médico cirurgião;Morro Luiz Fernando Brito, 48;costajoao-pedro@example.org;20/06/1965;60;28/02/2025;295;4,42;Vendedor_E
842844;Asafe da Luz;347.096.182-40;da Rocha do Amparo;Chefe de cozinha;Parque Ramos;alice85@example.com;21/06/1923;102;01/01/2025;130;1,95;Vendedor_D
525529;Thomas Vasconcelos;284.753.690-65;Lopes da Prata;Continuista;Rua Kaique Pinto, 72;lizbrito@example.com;29/09/1929;96;17/08/2025;248;3,72;Vendedor_E
436117;Emilly Fernandes;612.785.304-44;Nascimento;Cancerologista ou Oncologista;Área Juliana Novaes, 68;luna04@example.net;11/12/1986;39;01/12/2024;828;12,42;Vendendor_C
225144;Murilo Araújo;685.394.170-57;Aparecida;Encarregado de manutenção predial;Sítio Kamilly Vargas, 51;ncunha@example.org;19/05/1979;46;03/04/2025;76;1,14;Vendedor_D
722079;Sr. Thales Moreira;864.957.310-00;Rezende;Jogador de hóquei;Recanto Mathias Rodrigues, 16;gnovais@example.net;13/12/2006;19;02/09/2025;604;9,06;Vendendor_A
930176;Kamilly Cassiano;189.065.237-77;Lopes da Praia;Lancheiro;Viaduto Barros, 26;caleb60@example.org;26/07/2019;6;22/06/2025;353;5,29;Vendendor_B
438106;Srta. Olivia Novaes;249.358.761-82;da Paz do Campo;Xilógrafo;Passarela de Lima, 23;pietrapereira@example.org;10/09/1991;34;02/09/2025;505;7,57;Vendedor_D
611127;Isis Correia;329.601.854-98;Pimenta das Flores;Parteira tradicional;Núcleo de Freitas, 2;jose-pedrocasa-grande@example.com;07/05/1976;49;25/03/2025;557;8,36;Vendendor_C
508835;Gabrielly Santos;647.081.253-80;Santos de Caldeira;Salgadeira;Área Nina Fonseca, 532;sara55@example.net;11/03/1988;37;19/02/2025;637;9,55;Vendendor_B
289814;Ravi Lucca Novaes;425.809.731-41;Montenegro;Montador de negativos;Lago de Fogaça, 99;duartemaria-sophia@example.com;06/10/1948;77;05/04/2025;836;12,54;Vendedor_E
178070;Danilo Siqueira;476.095.123-70;Montenegro;Cobrador de pedágio;Sítio Pinto;xnunes@example.net;01/09/1919;106;24/02/2025;998;14,97;Vendendor_B
438497;Apollo Rezende;132.806.759-95;Ribeiro;Instrumentador cirúrgico;Travessa Lucas Gabriel Silva, 581;britoalicia@example.org;31/12/1927;98;03/08/2025;697;10,46;Vendendor_A
201604;João Lucas da Cruz;890.521.734-60;Guerra;Tecnólogo em negócios imobiliários;Trecho Moreira, 6;larissa18@example.net;12/07/1926;99;16/03/2025;954;14,31;Vendendor_C
436023;Benicio Farias;859.736.041-01;Freitas dos Dourados;Mototaxista;Via Ana Lívia Brito, 27;mariah42@example.org;18/09/1995;30;18/02/2025;404;6,06;Vendendor_C
953748;Marina Freitas;160.782.593-77;Peixoto;Cabo;Viaduto de Barbosa, 41;maria-lizcassiano@example.org;08/11/1995;30;13/11/2024;326;4,89;Vendedor_E
242079;Mariana Ramos;482.965.713-82;Novaes de Siqueira;Técnico em agropecuária;Distrito Anna Liz Aparecida, 40;guilhermeporto@example.com;04/12/1924;101;29/05/2025;679;10,19;Vendendor_B
515056;João Vitor Ramos;370.651.984-48;Marques das Pedras;Tecnólogo em rochas ornamentais;Trevo de Costela, 1;rpinto@example.com;22/10/2024;1;24/07/2025;114;1,71;Vendedor_E
925613;Ryan Nascimento;521.076.438-90;Caldeira Grande;Pára-quedista;Sítio de Borges, 752;savitoria@example.net;03/02/1921;104;07/05/2025;460;6,9;Vendendor_B
510941;Luigi Melo;014.875.239-04;da Mota;Odontopediatra;Quadra Maria Laura Guerra, 87;luiz-gustavo87@example.com;23/11/2005;20;22/08/2025;214;3,21;Vendendor_B
155534;Matheus Vieira;162.430.985-24;Guerra;Tintureiro;Distrito de Castro, 25;manuelaalmeida@example.com;21/07/1986;39;01/09/2025;543;8,14;Vendendor_C
555037;Sofia Rios;061.275.384-08;Azevedo;Desembargador de justiça;Rodovia da Mota, 3;britodom@example.org;04/01/1956;69;19/01/2025;905;13,57;Vendendor_A
